Keepwell Health Union - Economic Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonprofit Healthcare Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cells formatted like this: ,,are input variables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 1: INPUT ASSUMPTIONS & KEY METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Fee per Member (employer-paid),$450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Revenue per Member,"$5,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Churn Rate (monthly),2.50%,"Lower than traditional due to employer groups",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Acquisition Cost,$200,"Lower than traditional - employer-based enrollment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services Covered Directly (No Insurance Layer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Primary care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Mental health (therapy + psychiatry),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Urgent care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Diagnostics (labs basic imaging),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Care coordination and navigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services Covered by Reinsurance (Stop-Loss),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Hospitalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Major surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Trauma care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Complex specialty care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 2: STAFFING MODEL BY MEMBER COUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
